vd_exp2        [-1022, -1000)                    170.58      3.78      3.77         1         1         1
vd_exp2        [-1000, -500)                     161.04      3.78      3.77         1         1         1
vd_exp2        [-500, -1)                        159.51      3.78      3.77         1         1         1
vd_exp2        [-1, -DBL_MIN)                    159.51      3.78      3.77         1         1         1
vd_exp2        [-DBL_MIN, DBL_MIN)                76.79    220.48    220.48         0         0         0
vd_exp2        [DBL_MIN, 1)                       14.56      3.78      3.77         1         1         1
vd_exp2        [1, 500)                           14.56      3.78      3.77         1         1         1
vd_exp2        [500, 1000)                        14.56      3.78      3.77         1         1         1
vd_exp2        [1000, 1023)                       21.55      3.78      3.77         1         1         1
