vd_exp         [-708.4, -707)                     43.59      4.17      4.12         1         1         1
vd_exp         [-707, -500)                       27.82      4.13      4.13         1         1         1
vd_exp         [-500, -1)                         16.52      4.12      4.12         1         1         1
vd_exp         [-1, -DBL_MIN)                     16.52      4.13      4.13         1         1         1
vd_exp         [-DBL_MIN, DBL_MIN)                 7.26    134.41    222.97         0         0         0
vd_exp         [DBL_MIN, 1)                       16.52      4.13      4.13         1         1         1
vd_exp         [1, 500)                           16.52      4.13      4.13         1         1         1
vd_exp         [500, 707)                         25.51      4.12      4.13         1         1         1
vd_exp         [707, 709.44)                      25.28     23.23      4.13         1         1         1
