vd_exp2        [-1022, -1000)                    159.09      3.78      3.77         1         1         1
vd_exp2        [-1000, -500)                     159.09      3.77      3.77         1         1         1
vd_exp2        [-500, -1)                        159.09      3.77      3.77         1         1         1
vd_exp2        [-1, -DBL_MIN)                    159.12      3.78      3.77         1         1         1
vd_exp2        [-DBL_MIN, DBL_MIN)               129.26    223.14    223.15         0         0         0
vd_exp2        [DBL_MIN, 1)                      159.13      3.77      3.77         1         1         1
vd_exp2        [1, 500)                          159.09      3.93      3.91         1         1         1
vd_exp2        [500, 1000)                       159.09      3.93      3.92         1         1         1
vd_exp2        [1000, 1023)                      159.79      3.92      3.92         1         1         1
