vd_exp2        [-1022, -1000)                     29.16      3.77      3.77         1         1         1
vd_exp2        [-1000, -500)                      24.34      3.78      3.77         1         1         1
vd_exp2        [-500, -1)                         22.51      3.78      3.77         1         1         1
vd_exp2        [-1, -DBL_MIN)                     22.51      3.77      3.77         1         1         1
vd_exp2        [-DBL_MIN, DBL_MIN)                20.76    223.15    223.15         0         0         0
vd_exp2        [DBL_MIN, 1)                       15.51      3.78      3.77         1         1         1
vd_exp2        [1, 500)                           15.51      3.77      3.77         1         1         1
vd_exp2        [500, 1000)                        15.51      3.77      3.78         1         1         1
vd_exp2        [1000, 1023)                       16.47      3.77      3.77         1         1         1
