vd_exp         [-708.4, -707)                    185.17      4.04      3.99         1         1         1
vd_exp         [-707, -500)                       77.63      3.99      3.98         1         1         1
vd_exp         [-500, -1)                         17.60      4.15      4.13         1         1         1
vd_exp         [-1, -DBL_MIN)                     17.60      4.14      4.13         1         1         1
vd_exp         [-DBL_MIN, DBL_MIN)                 7.65    134.45    222.95         0         0         0
vd_exp         [DBL_MIN, 1)                       17.60      4.14      4.13         1         1         1
vd_exp         [1, 500)                           17.60      4.16      4.13         1         1         1
vd_exp         [500, 707)                         73.71      4.15      4.13         1         1         1
vd_exp         [707, 709.44)                     172.89     23.25      4.14         1         1         1
